date,open,high,low,close,volume
1664697600000,1.061,1.0632,1.0362,1.0495,3360.2953
1664712000000,1.0495,1.0507,1.0426,1.0488,883.1897
1664726400000,1.0488,1.0648,1.0458,1.0606,8663.1123
1664740800000,1.0606,1.0607,1.0296,1.0336,6329.31785
1664755200000,1.0336,1.0546,1.0169,1.0489,3626.8024
1664769600000,1.0489,1.0542,1.0375,1.046,2785.298
1664784000000,1.046,1.0601,1.0434,1.0601,108.12385
1664798400000,1.0601,1.0832,1.0582,1.0774,878.7707
1664812800000,1.0774,1.0824,1.0651,1.0734,1640.38325
1664827200000,1.0734,1.0919,1.0728,1.0879,419.70735
1664841600000,1.0879,1.1,1.083,1.092,3825.3014
1664856000000,1.092,1.1045,1.0879,1.0971,986.86795
1664870400000,1.0971,1.1054,1.0909,1.0986,1159.30265
1664884800000,1.0986,1.1532,1.0983,1.1393,25307.8439
1664899200000,1.1393,1.1732,1.1301,1.1375,33722.8197
1664913600000,1.1375,1.1562,1.1316,1.1556,671.6709
1664928000000,1.1556,1.156,1.1258,1.1289,7356.89615
1664942400000,1.1289,1.1381,1.1255,1.1281,1110.67285
1664956800000,1.1281,1.1281,1.1116,1.1174,4636.4191
1664971200000,1.1174,1.1574,1.1022,1.1566,7953.7482
1664985600000,1.1566,1.2187,1.153,1.2122,19378.6391
1665000000000,1.2122,1.3262,1.1909,1.2899,63534.54155
1665014400000,1.2899,1.3064,1.2661,1.2706,20866.3952
1665028800000,1.2706,1.2775,1.2565,1.2585,7181.14305
1665043200000,1.2585,1.301,1.2522,1.2741,11903.4321
1665057600000,1.2741,1.3485,1.2674,1.3481,21800.00685
1665072000000,1.3481,1.363,1.315,1.315,491202.4361
1665086400000,1.315,1.33,1.3068,1.3261,268692.71335
1665100800000,1.3261,1.342,1.2989,1.3235,18628.941
1665115200000,1.3235,1.3266,1.3054,1.3091,16656.8626
1665129600000,1.3091,1.3424,1.3056,1.3338,8242.056
1665144000000,1.3353,1.43,1.319,1.3774,89510.9562
1665158400000,1.3781,1.3949,1.3613,1.3943,20761.0073
1665172800000,1.3943,1.3943,1.3531,1.3589,18645.60385
1665187200000,1.3589,1.3733,1.3523,1.3605,5587.1438
1665201600000,1.3605,1.3748,1.3464,1.3697,26424.0294
1665216000000,1.3697,1.386,1.3387,1.3504,39220.43275
1665230400000,1.3504,1.375,1.3366,1.3605,16481.15275
1665244800000,1.3605,1.3801,1.3604,1.3674,10778.5146
1665259200000,1.3674,1.3741,1.3531,1.3691,4080.18605
1665273600000,1.3691,1.3732,1.3243,1.3329,12300.3552
1665288000000,1.3329,1.3664,1.3268,1.3486,3052.4454
1665302400000,1.3486,1.3547,1.3415,1.3429,2397.05695
1665316800000,1.3429,1.3671,1.338,1.3664,2651.848
1665331200000,1.3664,1.391,1.3491,1.38,3399.70495
1665345600000,1.38,1.3883,1.3657,1.387,25445.23325
1665360000000,1.387,1.387,1.3681,1.3762,13678.5435
1665374400000,1.3762,1.3818,1.3523,1.3546,3175.7657
1665388800000,1.3546,1.372,1.3256,1.3657,7619.3623
